PresetParser,PluginId
MeldaProduction_MStereoProcessor,1296114724
MeldaProduction_MAutoStereoFix,1298232166
MeldaProduction_MCompare,1296264560
MeldaProduction_MUltraMaximizer,1296133496
MeldaProduction_MRatio,1297244532
MeldaProduction_MLimiterX,1296131193
MeldaProduction_MNoiseGenerator,1296985961
MeldaProduction_MAutoVolume,1296135542
MeldaProduction_MAGC,1298229091
MeldaProduction_MAutoEqualizer,1296131454
MeldaProduction_MAutoEqualizerLP,1296137778
MeldaProduction_MFreeformPhase,1296131696
MeldaProduction_MMultiAnalyzer,1296908654
MeldaProduction_MTurboCompMB,1297367917
MeldaProduction_MTurboEQ,1297380677
MeldaProduction_MTurboReverbMB,1299468909
MeldaProduction_MUtility,1299543145
MeldaProduction_MWobblerMB,1296914287
D16_Frontier,1179807287
Eiosis_Deesser,1160922195
Eiosis_AirEQ,1095070032
SlateDigital_FGX,1179069784
SlateDigital_VirtualTapeMachines,1448365427
SlateDigital_VerbSuiteClassics,1450402640
SlateDigital_VBCFGGrey,1447183207
SlateDigital_VBCFGMu,1447183213
SlateDigital_VBCFGRed,1447183218
SlateDigital_VBCRack,1447183211